"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "TypeScript", "JSON with Comments", "TypeScript JSX", "SVG", "YAML", "comment", "blank", "total"
"e:\dungeon-of-aurora-front\src\components\pages\index.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\dungeon-of-aurora-front\src\components\templates\Abilities\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 8, 44
"e:\dungeon-of-aurora-front\src\components\templates\AnotationList\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 15, 106
"e:\dungeon-of-aurora-front\src\components\templates\AnotationList\styles.ts", "TypeScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 6, 49
"e:\dungeon-of-aurora-front\src\components\templates\Characteristics\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 7, 61
"e:\dungeon-of-aurora-front\src\components\templates\Equipments\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 15, 134
"e:\dungeon-of-aurora-front\src\components\templates\Equipments\styles.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"e:\dungeon-of-aurora-front\src\components\templates\SpellsAndTricks\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 12, 104
"e:\dungeon-of-aurora-front\src\components\templates\SpellsAndTricks\styles.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 4, 30
"e:\dungeon-of-aurora-front\src\components\templates\Welcome\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"e:\dungeon-of-aurora-front\src\components\templates\Welcome\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\dungeon-of-aurora-front\src\components\templates\index.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"e:\dungeon-of-aurora-front\src\config\backend.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 2, 10
"e:\dungeon-of-aurora-front\src\config\enviroment.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"e:\dungeon-of-aurora-front\src\config\index.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"e:\dungeon-of-aurora-front\src\connection\anotationService.ts", "TypeScript", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 8, 47
"e:\dungeon-of-aurora-front\src\connection\authService.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"e:\dungeon-of-aurora-front\src\connection\characterService.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 6, 38
